dataset,budget,optimizer,mean_test_accuracy,std_test_accuracy,min_test_accuracy,max_test_accuracy,n,mean_seconds,rank_within_budget
ag_news,default,adamw,0.9091842105263158,0.002985131668843506,0.9044736842105263,0.9122368421052631,5,67.4700216999976,1.0
ag_news,default,adam,0.9076578947368421,0.002560554713965959,0.9039473684210526,0.9103947368421053,5,65.74952977999347,2.0
ag_news,default,rmsprop,0.9045,0.009394497269538615,0.8890789473684211,0.9128947368421053,5,62.57946117997635,3.0
ag_news,default,sgd,0.25,0.0,0.25,0.25,5,63.907953420013655,4.0
ag_news,small_tuned,adam,0.9106578947368421,0.0020908221818514397,0.9075,0.9128947368421053,5,67.67884621999693,1.0
ag_news,small_tuned,adamw,0.9055,0.0034076153106333807,0.9023684210526316,0.9106578947368421,5,66.32037971999962,2.0
ag_news,small_tuned,rmsprop,0.8927105263157895,0.012305832682331558,0.873421052631579,0.9057894736842105,5,65.1349569199956,3.0
ag_news,small_tuned,sgd,0.8817105263157895,0.0023148173797051547,0.8778947368421053,0.8838157894736842,5,61.62405043996405,4.0
