best_val_accuracy,budget,dataset,dropout,final_test_accuracy,lr,momentum,optimizer,phase,run_dir,run_name,seed,total_seconds,trial,weight_decay
0.8945833333333333,small_tuned,ag_news,0.4793294235434916,0.8956578947368421,0.00987760714204661,0.0,adam,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_adam_trial009_seed101,tune_ag_news_adam_trial009_seed101,101,68.07721970003331,9,0.00017152015510067938
0.9120833333333334,small_tuned,ag_news,0.5327367999226926,0.8993421052631579,0.0025982618383131907,0.0,adam,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_adam_trial010_seed101,tune_ag_news_adam_trial010_seed101,101,67.77676499995869,10,1.0295719444573846e-06
0.8705833333333334,small_tuned,ag_news,0.5842684848851782,0.8696052631578948,1.077102092739577e-05,0.9,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial001_seed101,tune_ag_news_rmsprop_trial001_seed101,101,66.71800059999805,1,0.0
0.90475,small_tuned,ag_news,0.3040442070145843,0.8964473684210527,0.006223434764211037,0.0,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial002_seed101,tune_ag_news_rmsprop_trial002_seed101,101,63.90158140001586,2,6.3049162357275286e-06
0.89875,small_tuned,ag_news,0.4231352021214292,0.8971052631578947,0.00048795836762971555,0.5,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial003_seed101,tune_ag_news_rmsprop_trial003_seed101,101,68.38000980002107,3,0.001351660280430901
0.8708333333333333,small_tuned,ag_news,0.3753804167787228,0.8723684210526316,0.014278239579800532,0.0,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial004_seed101,tune_ag_news_rmsprop_trial004_seed101,101,64.43842020002194,4,3.830765213719995e-06
0.9076666666666666,small_tuned,ag_news,0.5869071138673321,0.9057894736842105,0.003100427220161908,0.0,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial005_seed101,tune_ag_news_rmsprop_trial005_seed101,101,65.29025780002121,5,1.9685922499509777e-06
0.8291666666666667,small_tuned,ag_news,0.5613054737401626,0.8248684210526316,0.008496992822036996,0.5,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial006_seed101,tune_ag_news_rmsprop_trial006_seed101,101,82.96182880003471,6,2.0964078432847784e-07
0.9066666666666666,small_tuned,ag_news,0.25854347184120063,0.9044736842105263,0.00019363445014677243,0.5,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial007_seed101,tune_ag_news_rmsprop_trial007_seed101,101,67.48782989999745,7,0.0
0.7373333333333333,small_tuned,ag_news,0.4322559969025568,0.6385526315789474,0.015371438571327427,0.5,rmsprop,tuning,C:\github\imdb_NLP_OPTIMIZER\results\ag_news\runs\tune_ag_news_rmsprop_trial008_seed101,tune_ag_news_rmsprop_trial008_seed101,101,66.32276690000435,8,0.0
