dataset,optimizer,budget,phase,seed,final_test_accuracy,best_val_accuracy,final_test_loss,total_seconds,seconds_per_epoch_mean,run_name,run_dir
imdb,adamw,small_tuned,rerun,103,0.87104,0.8828,0.39344327747821806,49.24397150002187,4.329354300000705,rerun_small_tuned_imdb_adamw_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_adamw_seed103
imdb,adamw,small_tuned,rerun,104,0.86296,0.8868,0.44965128288984296,47.89861590001965,4.309434980002697,rerun_small_tuned_imdb_adamw_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_adamw_seed104
imdb,adamw,small_tuned,rerun,105,0.86868,0.8904,0.3995157765674591,48.26405340002384,4.310606539982837,rerun_small_tuned_imdb_adamw_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_adamw_seed105
imdb,rmsprop,small_tuned,rerun,101,0.85748,0.854,0.3247408376789093,46.69129360001534,4.257596279995051,rerun_small_tuned_imdb_rmsprop_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_rmsprop_seed101
imdb,rmsprop,small_tuned,rerun,102,0.84916,0.854,0.342938692111969,47.99335050000809,4.275865039986092,rerun_small_tuned_imdb_rmsprop_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_rmsprop_seed102
imdb,rmsprop,small_tuned,rerun,103,0.87036,0.8716,0.2998885852241516,48.403499499952886,4.2775506199919615,rerun_small_tuned_imdb_rmsprop_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_rmsprop_seed103
imdb,rmsprop,small_tuned,rerun,104,0.86988,0.8628,0.29932158754348753,49.675377500010654,4.317548860015814,rerun_small_tuned_imdb_rmsprop_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_rmsprop_seed104
imdb,rmsprop,small_tuned,rerun,105,0.87056,0.858,0.3005184611654282,51.758035200007726,4.311559100006707,rerun_small_tuned_imdb_rmsprop_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_rmsprop_seed105
imdb,sgd,small_tuned,rerun,101,0.83516,0.828,0.39455330905914304,73.61895839998033,4.3000040199956855,rerun_small_tuned_imdb_sgd_seed101,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_sgd_seed101
imdb,sgd,small_tuned,rerun,102,0.78792,0.8056,0.55872065959692,59.1215058999951,4.119943660032004,rerun_small_tuned_imdb_sgd_seed102,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_sgd_seed102
imdb,sgd,small_tuned,rerun,103,0.61192,0.8012,1.4473378269189596,55.30807820003247,4.106332919979468,rerun_small_tuned_imdb_sgd_seed103,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_sgd_seed103
imdb,sgd,small_tuned,rerun,104,0.73876,0.8076,0.7895125013250113,52.67243450001115,4.067293339979369,rerun_small_tuned_imdb_sgd_seed104,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_sgd_seed104
imdb,sgd,small_tuned,rerun,105,0.73132,0.8044,0.7549870075154305,51.2788259999943,4.035849939996842,rerun_small_tuned_imdb_sgd_seed105,C:\github\imdb_NLP_OPTIMIZER\results\imdb\runs\rerun_small_tuned_imdb_sgd_seed105
