dataset,budget,optimizer,mean_test_accuracy,std_test_accuracy,min_test_accuracy,max_test_accuracy,n,mean_seconds,rank_within_budget
imdb,default,adamw,0.8765599999999999,0.008142382943585954,0.86228,0.88224,5,37.32353495998541,1.0
imdb,default,adam,0.876536,0.007681541511962321,0.86376,0.8836,5,36.83346910000546,2.0
imdb,default,rmsprop,0.8614240000000001,0.012878030905383033,0.84276,0.87496,5,36.142503879999275,3.0
imdb,default,sgd,0.5,0.0,0.5,0.5,5,36.65575357999187,4.0
imdb,small_tuned,adam,0.878368,0.004490024498819543,0.8738,0.88428,5,61.996950799995105,1.0
imdb,small_tuned,adamw,0.8734719999999999,0.007125020701724322,0.86136,0.87896,5,65.50854496000102,2.0
imdb,small_tuned,rmsprop,0.866128,0.004892394096963141,0.86072,0.87312,5,62.24146790000377,3.0
imdb,small_tuned,sgd,0.825408,0.008749463983582072,0.81208,0.8334,5,56.96311336000217,4.0
