,,mean_test_accuracy,mean_test_accuracy,rank_within_budget,rank_within_budget,std_test_accuracy,std_test_accuracy
budget,,default,small_tuned,default,small_tuned,default,small_tuned
dataset,optimizer,,,,,,
imdb,adam,0.876536,0.876152,2.0,1.0,0.007681541511962321,0.005074043752274908
imdb,adamw,0.8765599999999999,0.8677279999999999,1.0,2.0,0.008142382943585954,0.003903372900454213
imdb,rmsprop,0.8614240000000001,0.863488,3.0,3.0,0.012878030905383033,0.009740160162954155
imdb,sgd,0.5,0.7410159999999999,4.0,4.0,0.0,0.08340856838478884
